species_a,species_b,n_genes_a,n_genes_b,hits_at_k_procrustes,mrr_at_k_procrustes,top_m_hits_at_k_procrustes,spearman_rho_procrustes,hits_at_k_space_v2,mrr_at_k_space_v2,top_m_hits_at_k_space_v2,spearman_rho_space_v2
GNEGN,PICAB,24187,64607,0.0227,0.0028,0.0547,0.2602,0.0057,0.0006,0.0139,0.0102
HORVU,ORYSA,35756,42173,0.3189,0.0731,0.4019,0.5882,0.0086,0.0008,0.0177,0.1012
LINEN,MARPO,43779,17993,0.0425,0.0057,0.0733,0.2881,0.0031,0.0003,0.0079,0.0007
LYGFL,MARPO,29718,17993,0.0522,0.0060,0.0793,0.3283,0.0085,0.0008,0.0124,0.0199
MARPO,MICSP,17993,39077,0.0492,0.0126,0.0877,0.2993,0.0037,0.0003,0.0107,0.0258
MARPO,NEPBI,17993,34588,0.0494,0.0066,0.0969,0.3359,0.0025,0.0003,0.0062,-0.0021
MARPO,OPHRE,17993,37433,0.0259,0.0030,0.0560,0.2915,0.0029,0.0003,0.0075,-0.0242
MARPO,PALCE,17993,27347,0.0222,0.0030,0.0500,0.3212,0.0029,0.0002,0.0092,0.0375
MARPO,PHLPH,17993,41331,0.0196,0.0030,0.0468,0.3288,0.0025,0.0003,0.0069,0.0500
MARPO,PHYPA,17993,34813,0.1985,0.0389,0.2606,0.5710,0.0250,0.0026,0.0388,0.1858
MARPO,PLEIR,17993,33608,0.0213,0.0030,0.0481,0.2656,0.0024,0.0001,0.0065,-0.0571
MARPO,PLEVA,17993,46945,0.0122,0.0014,0.0363,0.2882,0.0016,0.0001,0.0050,-0.0205
MARPO,PSINU,17993,22535,0.0341,0.0114,0.0637,0.2374,0.0033,0.0004,0.0067,-0.0038
MARPO,PYRPI,17993,44158,0.0315,0.0054,0.0712,0.3616,0.0017,0.0001,0.0072,-0.0015
MARPO,SALMO,17993,37993,0.0118,0.0015,0.0251,0.2393,0.0022,0.0002,0.0051,0.0148
MARPO,STEPA,17993,45146,0.0553,0.0100,0.0926,0.3422,0.0050,0.0005,0.0096,0.0070
MARPO,TECIN,17993,35251,0.0568,0.0089,0.0966,0.3406,0.0027,0.0002,0.0057,-0.0751
ORYRU,ORYSA,36841,42173,0.5093,0.1847,0.5651,0.5637,0.0169,0.0018,0.0276,0.1968
ORYSA,MARPO,42173,17993,0.1381,0.0207,0.1775,0.4881,0.0769,0.0086,0.0973,0.1607
ORYSA,PANHA,42173,33713,0.1641,0.0297,0.2279,0.4751,0.0096,0.0010,0.0233,0.1075
ORYSA,PHYED,42173,50185,0.2257,0.0449,0.3115,0.5706,0.0030,0.0003,0.0117,0.0960
ORYSA,PICAB,42173,64607,0.0846,0.0112,0.1496,0.4548,0.0195,0.0017,0.0363,0.1378
ORYSA,SACSP,42173,52368,0.1311,0.0218,0.2068,0.4750,0.0035,0.0005,0.0125,0.1180
ORYSA,SELMO,42173,21389,0.0847,0.0132,0.1229,0.3350,0.0324,0.0037,0.0478,0.1040
ORYSA,SETIT,42173,34574,0.3393,0.0786,0.4218,0.5624,0.0090,0.0008,0.0199,0.1296
ORYSA,SETVI,42173,29777,0.2111,0.0374,0.2849,0.5463,0.0122,0.0011,0.0266,0.1196
ORYSA,SORBI,42173,32155,0.3492,0.0868,0.4299,0.5961,0.0165,0.0015,0.0344,0.2303
ORYSA,TRIAE,42173,106773,0.2083,0.0376,0.3472,0.5100,0.0007,0.0001,0.0054,0.0107
ORYSA,TRIDI,42173,61600,0.1137,0.0172,0.1996,0.4726,0.0024,0.0002,0.0097,0.0796
ORYSA,TRITU,42173,66054,0.1729,0.0281,0.2718,0.5052,0.0016,0.0001,0.0076,0.0160
ORYSA,TRIUR,42173,40079,0.1510,0.0261,0.2195,0.4342,0.0062,0.0004,0.0146,0.0495
ORYSA,ZEAMA,42173,39756,0.3456,0.0806,0.4275,0.6499,0.0072,0.0006,0.0179,0.1797
PICAB,MARPO,64607,17993,0.0991,0.0139,0.1449,0.4193,0.0369,0.0039,0.0488,0.0799
PICAB,PODNE,64607,19573,0.0457,0.0046,0.1003,0.2874,0.0045,0.0003,0.0137,0.0208
PICAB,PSEME,64607,48847,0.1463,0.0250,0.2328,0.4024,0.0014,0.0002,0.0072,-0.0036
PICAB,SELMO,64607,21389,0.0619,0.0087,0.1106,0.2168,0.0194,0.0021,0.0319,0.0495
PICAB,TAXCA,64607,23484,0.0300,0.0046,0.0837,0.2868,0.0042,0.0003,0.0137,-0.0003
SELER,SELMO,44803,21389,0.0239,0.0024,0.0464,0.2080,0.0029,0.0001,0.0071,0.0078
SELMO,MARPO,21389,17993,0.0673,0.0078,0.0976,0.3533,0.0429,0.0043,0.0543,0.0525
SELMO,SELWI,21389,22755,0.0082,0.0006,0.0239,0.1661,0.0031,0.0005,0.0093,-0.0038
